                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6327,                 2.0462,                 1.4876,                0.71115,                0.50712,                0.57394,                0.32755,                 1.4911,                 1.5104,                 1.5146,             0.00055279,             0.00055279,             0.00055279
                      2,                 1.4006,                  1.224,                 1.3318,                0.66254,                 0.5861,                0.67476,                0.39774,                 1.3386,                 1.3153,                 1.3256,              0.0010975,              0.0010975,              0.0010975
                      3,                 1.3655,                 1.1582,                 1.3107,                0.75019,                0.68717,                0.78166,                0.49933,                 1.1909,                  1.111,                 1.2836,              0.0016312,              0.0016312,              0.0016312
                      4,                 1.2889,                 1.0645,                   1.27,                0.83057,                  0.708,                 0.8331,                0.50093,                 1.2208,                0.92331,                 1.2575,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2156,                0.96274,                 1.2219,                0.77843,                0.79096,                0.83867,                0.53569,                 1.1513,                 0.9408,                 1.2367,               0.001601,               0.001601,               0.001601
                      6,                 1.1799,                 0.9102,                 1.2109,                0.86711,                0.81547,                0.90308,                0.60498,                 1.1825,                0.79283,                 1.2629,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1017,                0.83523,                 1.1705,                0.86822,                0.80005,                0.88325,                0.58367,                 1.0877,                0.80126,                 1.1856,               0.001568,               0.001568,               0.001568
                      8,                 1.0795,                0.80437,                 1.1574,                0.86187,                0.83445,                0.92696,                0.64191,                 1.0781,                0.77085,                 1.1708,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.058,                0.79061,                  1.143,                0.87717,                0.87628,                0.92547,                0.65508,                0.99303,                0.65981,                 1.1419,               0.001535,               0.001535,               0.001535
                     10,                 1.0414,                0.76423,                 1.1399,                0.88344,                0.90289,                0.94227,                0.69145,                 0.9766,                0.65051,                 1.1138,              0.0015185,              0.0015185,              0.0015185
                     11,                0.99741,                0.73979,                 1.1122,                0.94154,                0.88813,                0.96879,                0.68333,                0.99185,                0.64867,                 1.0972,               0.001502,               0.001502,               0.001502
                     12,                0.99091,                0.71247,                 1.1084,                0.91896,                0.90506,                0.95897,                0.68961,                0.97212,                0.64856,                 1.1278,              0.0014855,              0.0014855,              0.0014855
                     13,                0.96643,                0.69827,                 1.0975,                0.90015,                0.90353,                0.95571,                0.70624,                0.93458,                0.61119,                 1.0934,               0.001469,               0.001469,               0.001469
                     14,                0.95662,                0.67345,                 1.0885,                0.87871,                0.91894,                0.95281,                0.70158,                0.93767,                0.59922,                 1.0684,              0.0014525,              0.0014525,              0.0014525
                     15,                 0.9598,                0.66362,                 1.0823,                0.86838,                0.91969,                0.94734,                0.69349,                0.89169,                0.59207,                 1.0739,               0.001436,               0.001436,               0.001436
                     16,                0.92893,                0.65031,                 1.0702,                0.87661,                0.92841,                0.95336,                0.69909,                0.87086,                0.56661,                 1.0577,              0.0014195,              0.0014195,              0.0014195
                     17,                0.91963,                0.64115,                 1.0718,                0.95069,                 0.9605,                0.98439,                0.73103,                0.87184,                0.54375,                 1.0483,              0.0014029,              0.0014029,              0.0014029
                     18,                 0.9068,                0.63151,                  1.066,                 0.9349,                0.93705,                0.97305,                0.73409,                0.88019,                0.55232,                 1.0684,              0.0013864,              0.0013864,              0.0013864
                     19,                0.89851,                0.61834,                 1.0646,                0.93263,                0.93782,                0.96659,                0.73663,                0.84059,                0.52781,                 1.0351,              0.0013699,              0.0013699,              0.0013699
                     20,                0.88201,                0.60572,                 1.0487,                0.90389,                0.94656,                0.96509,                0.75818,                0.82419,                0.53191,                 1.0365,              0.0013534,              0.0013534,              0.0013534
                     21,                0.86012,                0.58319,                 1.0446,                0.93703,                0.97036,                0.98286,                0.73763,                 0.8983,                0.54295,                  1.036,              0.0013369,              0.0013369,              0.0013369
                     22,                0.83865,                0.57545,                   1.03,                0.95546,                0.94517,                0.97279,                0.75703,                0.81885,                 0.5003,                 1.0276,              0.0013204,              0.0013204,              0.0013204
                     23,                0.84784,                0.57106,                 1.0383,                0.95841,                0.92656,                0.98167,                0.75288,                0.82682,                0.51199,                 1.0286,              0.0013039,              0.0013039,              0.0013039
                     24,                0.84711,                0.57143,                 1.0309,                0.90091,                0.96158,                0.97623,                0.74405,                 0.8289,                0.54611,                 1.0322,              0.0012874,              0.0012874,              0.0012874
                     25,                  0.839,                0.56576,                 1.0303,                0.94207,                 0.9325,                0.97215,                 0.7348,                0.85918,                0.51157,                 1.0064,              0.0012709,              0.0012709,              0.0012709
                     26,                0.82611,                 0.5664,                 1.0244,                0.96214,                0.92367,                  0.967,                0.73925,                0.82358,                0.48758,                 1.0188,              0.0012544,              0.0012544,              0.0012544
                     27,                0.81738,                0.55077,                 1.0203,                0.96896,                0.97979,                0.98579,                0.77196,                0.80405,                0.47808,                 1.0362,              0.0012379,              0.0012379,              0.0012379
                     28,                0.81966,                 0.5454,                 1.0145,                0.95245,                0.94014,                0.98551,                0.75205,                 0.8611,                0.47849,                 1.0418,              0.0012214,              0.0012214,              0.0012214
                     29,                0.80451,                0.53489,                 1.0102,                 0.9362,                0.96761,                0.98561,                0.76232,                0.76253,                0.47423,                 1.0168,              0.0012049,              0.0012049,              0.0012049
                     30,                0.78678,                0.52399,                 1.0049,                 0.9443,                0.96597,                 0.9796,                0.76462,                0.77753,                0.48118,                 1.0084,              0.0011884,              0.0011884,              0.0011884
                     31,                0.79837,                0.52198,                 1.0121,                0.95411,                0.95014,                0.98448,                0.77757,                0.74374,                0.43646,                  1.007,              0.0011719,              0.0011719,              0.0011719
                     32,                 0.7786,                0.51228,                0.99763,                0.95288,                0.93553,                0.98406,                0.79396,                0.77596,                0.46244,                  0.994,              0.0011554,              0.0011554,              0.0011554
                     33,                0.77905,                0.50956,                0.99365,                0.95154,                 0.9416,                0.97732,                0.79457,                0.78297,                0.47675,                 1.0133,              0.0011389,              0.0011389,              0.0011389
                     34,                0.76385,                0.49699,                0.99589,                0.96676,                0.97638,                0.98803,                0.78661,                0.77272,                0.44818,                0.99994,              0.0011224,              0.0011224,              0.0011224
                     35,                0.77255,                0.50724,                 1.0022,                0.95235,                0.95387,                0.96899,                0.78197,                 0.7469,                0.45889,                0.98583,              0.0011059,              0.0011059,              0.0011059
                     36,                0.76203,                 0.5012,                0.99007,                0.95579,                0.96557,                0.98872,                 0.8017,                0.74173,                0.46444,                 1.0007,              0.0010894,              0.0010894,              0.0010894
                     37,                0.76571,                0.49579,                0.99428,                0.97122,                0.94774,                0.98859,                0.78576,                0.75336,                0.44136,                0.99625,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.7454,                 0.4838,                0.98935,                0.98956,                0.95229,                0.98969,                0.79107,                0.72673,                0.44823,                0.96861,              0.0010564,              0.0010564,              0.0010564
                     39,                0.73807,                0.47932,                0.98293,                0.96271,                0.93974,                0.97766,                0.79572,                0.76229,                0.45049,                0.99386,              0.0010399,              0.0010399,              0.0010399
                     40,                0.72682,                0.47094,                0.97775,                0.97083,                 0.9399,                0.98207,                0.79098,                0.74502,                0.44617,                0.97737,              0.0010234,              0.0010234,              0.0010234
                     41,                0.73793,                0.48141,                0.97603,                0.98647,                0.94029,                0.98864,                0.79915,                0.74092,                0.42265,                0.98179,              0.0010069,              0.0010069,              0.0010069
                     42,                0.73288,                0.47754,                0.97545,                0.97807,                0.96226,                0.99022,                0.81104,                0.73134,                0.44177,                0.97733,             0.00099036,             0.00099036,             0.00099036
                     43,                0.72524,                0.46592,                0.97433,                0.98752,                0.95054,                0.98723,                  0.794,                0.73272,                0.43669,                0.97359,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71467,                0.45902,                0.96988,                0.94761,                0.97592,                0.98726,                 0.8003,                0.72303,                0.43841,                 0.9704,             0.00095736,             0.00095736,             0.00095736
                     45,                0.70487,                0.44961,                0.96225,                0.93529,                0.97768,                0.98502,                0.79767,                0.70827,                0.43118,                0.95884,             0.00094085,             0.00094085,             0.00094085
                     46,                0.70952,                0.45684,                0.96913,                0.94844,                0.98094,                0.98967,                0.80742,                0.70083,                0.41582,                0.95319,             0.00092435,             0.00092435,             0.00092435
                     47,                0.71043,                0.45436,                0.96472,                0.94187,                0.96044,                 0.9733,                0.79153,                0.70981,                0.42717,                0.96633,             0.00090785,             0.00090785,             0.00090785
                     48,                0.70229,                0.44837,                 0.9699,                 0.9801,                0.95595,                0.98838,                  0.808,                0.74418,                0.41377,                0.96911,             0.00089134,             0.00089134,             0.00089134
                     49,                0.70211,                0.45113,                0.96366,                0.95291,                0.96807,                0.98282,                 0.8207,                0.69414,                 0.4109,                 0.9596,             0.00087484,             0.00087484,             0.00087484
                     50,                0.67945,                0.43436,                0.96005,                0.96311,                0.98902,                0.98971,                 0.8187,                0.68857,                0.41245,                0.95499,             0.00085834,             0.00085834,             0.00085834
                     51,                0.70227,                0.44605,                0.96449,                0.95891,                0.97618,                0.98773,                0.81298,                0.70609,                0.41064,                0.96506,             0.00084184,             0.00084184,             0.00084184
                     52,                0.67082,                 0.4268,                0.95411,                0.97764,                 0.9761,                0.99011,                0.82306,                0.69401,                 0.4154,                0.95702,             0.00082533,             0.00082533,             0.00082533
                     53,                0.67593,                0.42965,                0.95294,                0.96412,                0.98321,                0.99116,                 0.8119,                0.70383,                0.41625,                0.96775,             0.00080883,             0.00080883,             0.00080883
                     54,                0.67289,                0.42737,                0.95005,                0.95699,                0.97924,                0.99059,                0.81924,                 0.6792,                 0.4164,                0.96623,             0.00079233,             0.00079233,             0.00079233
                     55,                0.66959,                0.42632,                0.95287,                0.94478,                0.93724,                0.98324,                0.81887,                 0.6834,                0.41311,                0.94176,             0.00077582,             0.00077582,             0.00077582
                     56,                0.66168,                0.41747,                0.94646,                0.98828,                 0.9828,                0.99241,                0.83536,                0.67303,                0.41222,                0.94238,             0.00075932,             0.00075932,             0.00075932
